"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Volumes/Xiaoyi311/Code Project/BackRoom/WebSite/unifiedPass/src/pages/GameProfile.tsx", "TypeScript JSX", 5, 0, 0, 5
"Total", "-", 5, 0, 0, 5
